Frame,Satellite X (km),Satellite Y (km),Velocity X (km/s),Velocity Y (km/s),Force X (N),Force Y (N),Total Distance (km),Total Velocity (km/s),Total Acceleration (km/s²)
152,-564628.3989204436,-119128.6829010085,-3952.8913647861295,-975.0013130939512,0.010110546778298233,0.0024937170056545345,618676.4734053654,4071.360669645429,0.001384228921600763
153,-568581.2892873519,-120103.68396798069,-3952.890366908269,-975.0010669721825,0.009978778607113844,0.0024612176889088756,622747.8340748273,4071.3596418632783,0.0013571682477207042
154,-572534.1786693031,-121078.6847920179,-3952.889381951295,-975.0008240372239,0.009849569733436576,0.0024293495848674925,626819.1937165093,4071.3586273892106,0.0013308083668259986
155,-576487.067078969,-122053.68537624548,-3952.8884096658644,-975.0005842275787,0.009722854305159618,0.002398096452411951,630890.5523437196,4071.357625966411,0.001305126739121408
156,-580439.954528778,-123028.6857237288,-3952.8874498090067,-975.0003474833218,0.00959856857466014,0.0023674425694428,634961.9099695095,4071.3566373446274,0.0012801016891979642
157,-584392.8410309219,-124003.68583747486,-3952.886502143925,-975.0001137460504,0.009476650818606186,0.0023373727131023097,639033.2666066797,4071.3556612799684,0.0012557123676053077
158,-588345.7265973616,-124978.68572043368,-3952.885566439799,-974.9998829588363,0.00935704126130619,0.002307872140870885,643104.6222677876,4071.354697534696,0.0012319387143637647
159,-592298.6112398333,-125953.68537549986,-3952.8846424715985,-974.9996550661791,0.009239682001423414,0.002278926572493315,647175.9769651523,4071.3537458770375,0.0012087614243072725
160,-596251.4949698532,-126928.68480551383,-3952.8837300199043,-974.9994300139618,0.00912451694188752,0.002250522172693488,651247.3307108615,4071.352806080999,0.0011861619141539813
161,-600204.377798724,-127903.68401326322,-3952.8828288707323,-974.9992077494085,0.009011491722844829,0.0022226455346384976,655318.6835167768,4071.351877926183,0.0011641222912090216
162,-604157.2597375393,-128878.68300148427,-3952.8819388153665,-974.9989882210422,0.008900553657497697,0.0021952836641152564,659390.0353945392,4071.35096119762,0.0011426253236076571
163,-608110.1407971896,-129853.68177286291,-3952.881059650199,-974.9987713786456,0.008791651670691543,0.002168423964384718,663461.3863555752,4071.350055685601,0.0011216544120156843
